@1.성별,@2.나이,@3.직업,@4.현재종사하는학업또는직업분야,@5.스마트폰사용기간,@6.최근3개월이내에LBS앱사용유무,@7.현재다운로드된LBS앱개수,@8.가장많이사용하는LBS앱유형,@9.LBS앱사용동기,U1,U2,U3,U4,U5,SQ1,SQ2,SQ3,SQ4,SQ5,IF1,IF2,IF3,IF4,IF5,SI1,SI2,SI3,SI4,PR1,PR2,PR3,PR4,PR5,PR6,USE1,USE2,USE3,USE4,USE5,ICU1,ICU2,ICU3,ICU4,ICU5,Uavg,IFavg,SIavg,PRavg,SQavg,USEavg,ICUavg,PR_3.5PR,PR_2.6PR
남,50 대 이상,전문직,비 IT 분야,3 년 이상,사용함,3 ~ 5 개,지도 및 네비게이션,필요에 의해,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.2,5.75,6,6,0,0
여,30 대,회사원,비 IT 분야,4 년 이상,사용함,10 개 이상,위치기반 메신져,주변 사람들이 사용해서,7,7,7,7,7,5,7,7,6,5,5,6,6,6,6,7,7,7,7,6,4,4,4,4,4,6,6,7,5,6,6,6,6,6,6,7,5.8,7,4.4,6,6,6,0,0
남,50 대 이상,자영업,비 IT 분야,3 년 이상,사용하지 않음,3 ~ 5 개,"쇼핑, 구매",무료 서비스 또는 쿠폰 제공,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.25,4,4,4,4,4,4,0,0
남,40 대,전문직,비 IT 분야,4 년 이상,사용함,1 ~ 2 개,지도 및 네비게이션,필요에 의해,2,6,6,6,6,5,6,6,6,4,5,5,3,4,4,5,5,4,3,4,3,4,4,4,4,5,4,5,5,5,4,4,5,3,4,6,4.2,4.25,3.8,5.25,4.75,4,0,0
남,30 대,회사원,비 IT 분야,4 년 이상,사용함,3 ~ 5 개,지도 및 네비게이션,필요에 의해,5,5,5,5,5,3,5,5,6,5,5,5,5,5,5,5,4,6,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4.6,4.5,4.5,5,0,0
남,40 대,자영업,비 IT 분야,4 년 이상,사용함,3 ~ 5 개,지도 및 네비게이션,필요에 의해,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,6,2,2,5,5,5,5,5,5,7,7,7,7,7,7,6,6,7,6,5.25,3.8,6,6,6.6,0,0
남,40 대,자영업,비 IT 분야,4 년 이상,사용함,10 개 이상,주변 교통 이용 정보,필요에 의해,5,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,5,5,5,5,5,5,6,5,6,6,6,6,6,6,4,4.25,5.2,4.25,5.25,6,0,0
남,40 대,자영업,비 IT 분야,3 년 이상,사용함,3 ~ 5 개,지도 및 네비게이션,필요에 의해,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,0,0
남,30 대,회사원,비 IT 분야,4 년 이상,사용함,3 ~ 5 개,주변 교통 이용 정보,필요에 의해,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,6,5,5,6,3,2,5,4,4,3,3,3,4,2,3,4,4,4,4,4,5,4,5.5,3.6,5,3,4,0,0
남,40 대,전문직,비 IT 분야,1 년 이상,사용함,3 ~ 5 개,지도 및 네비게이션,필요에 의해,6,6,6,6,6,6,5,4,6,4,5,5,5,6,5,7,7,7,7,4,4,4,3,3,2,5,6,7,7,7,7,7,7,6,6,6,5.2,7,3.6,4.75,6.25,6.6,0,0
